2022-02-20 13:04:49,864 CRITICAL client_log_settings.py Критическая ошибка
2022-02-20 13:04:49,864 ERROR    client_log_settings.py Ошибка
2022-02-20 13:04:49,864 DEBUG    client_log_settings.py Отладочная информация
2022-02-20 13:04:49,864 INFO     client_log_settings.py Информационное сообщение
2022-02-20 13:04:58,792 INFO     client_side.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1 , порт: 7777
2022-02-20 13:04:58,795 DEBUG    client_side.py Сформировано presence сообщение для пользователя Guest
2022-02-20 13:04:58,795 DEBUG    client_side.py Разбор сообщения от сервера: {'response': 200}
2022-02-20 13:04:58,795 INFO     client_side.py Принят ответ от сервера 200 : OK
2022-02-20 13:27:13,028 INFO     client_side.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1 , порт: 7777
2022-02-20 13:27:13,030 DEBUG    client_side.py Сформировано presence сообщение для пользователя Guest
2022-02-20 13:27:13,030 DEBUG    client_side.py Разбор сообщения от сервера: {'response': 200}
2022-02-20 13:27:13,031 INFO     client_side.py Принят ответ от сервера 200 : OK
2022-02-20 13:36:45,765 INFO     client_side.py Запущен клиент с парамертами: адрес сервера: 127.0.0.1 , порт: 7777
2022-02-20 13:36:45,767 DEBUG    client_side.py Сформировано presence сообщение для пользователя Guest
2022-02-20 13:36:45,768 DEBUG    client_side.py Разбор сообщения от сервера: {'response': 200}
2022-02-20 13:36:45,768 INFO     client_side.py Принят ответ от сервера 200 : OK
